Greater Sydney Region Dwelling Approvals by Month,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Year and Month, Detached , Multi-Unit , Grand Total ,,,,,,,,,,,,,
1991 Jul,924,753,"1,677",,,,,,,,,,,,,
1991 Aug,890,410,"1,300",,,,,,,,,,,,,
1991 Sep,"1,047",585,"1,632",,,,,,,,,,,,,
1991 Oct,929,556,"1,485",,,,,,,,,,,,,
1991 Nov,992,712,"1,704",,,,,,,,,,,,,
1991 Dec,597,695,"1,292",,,,,,,,,,,,,
1992 Jan,724,666,"1,390",,,,,,,,,,,,,
1992 Feb,673,610,"1,283",,,,,,,,,,,,,
1992 Mar,930,738,"1,668",,,,,,,,,,,,,
1992 Apr,812,746,"1,558",,,,,,,,,,,,,
1992 May,837,933,"1,770",,,,,,,,,,,,,
1992 Jun,993,706,"1,699",,,,,,,,,,,,,
1992 Jul,"1,084",784,"1,868",,,,,,,,,,,,,
1992 Aug,897,612,"1,509",,,,,,,,,,,,,
1992 Sep,"1,179",956,"2,135",,,,,,,,,,,,,
1992 Oct,923,877,"1,800",,,,,,,,,,,,,
1992 Nov,"1,063","1,323","2,386",,,,,,,,,,,,,
1992 Dec,976,"1,007","1,983",,,,,,,,,,,,,
1993 Jan,807,"1,356","2,163",,,,,,,,,,,,,
1993 Feb,966,"1,219","2,185",,,,,,,,,,,,,
1993 Mar,"1,228","1,185","2,413",,,,,,,,,,,,,
1993 Apr,897,718,"1,615",,,,,,,,,,,,,
1993 May,"1,227",823,"2,050",,,,,,,,,,,,,
1993 Jun,"1,017",700,"1,717",,,,,,,,,,,,,
1993 Jul,"1,029","1,135","2,164",,,,,,,,,,,,,
1993 Aug,808,850,"1,658",,,,,,,,,,,,,
1993 Sep,"1,381","1,155","2,536",,,,,,,,,,,,,
1993 Oct,"1,077",880,"1,957",,,,,,,,,,,,,
1993 Nov,"1,137","1,367","2,504",,,,,,,,,,,,,
1993 Dec,924,706,"1,630",,,,,,,,,,,,,
1994 Jan,"1,095","1,113","2,208",,,,,,,,,,,,,
1994 Feb,988,791,"1,779",,,,,,,,,,,,,
1994 Mar,"1,487",736,"2,223",,,,,,,,,,,,,
1994 Apr,"1,148",711,"1,859",,,,,,,,,,,,,
1994 May,"1,521","1,443","2,964",,,,,,,,,,,,,
1994 Jun,"1,141","1,364","2,505",,,,,,,,,,,,,
1994 Jul,"1,125",950,"2,075",,,,,,,,,,,,,
1994 Aug,"1,397","2,518","3,915",,,,,,,,,,,,,
1994 Sep,"1,756","2,065","3,821",,,,,,,,,,,,,
1994 Oct,"1,329","1,182","2,511",,,,,,,,,,,,,
1994 Nov,"1,307","1,071","2,378",,,,,,,,,,,,,
