H1 GROSS DOMESTIC PRODUCT AND INCOME,,,,,,,,,,,,
Title,Real GDP,Year-ended real GDP growth,Real non-farm GDP,Year-ended real non-farm GDP growth,Real farm GDP,Year-ended real GDP per capita growth,Real GDI,Year-ended real GDI growth,Nominal GDP,Year-ended nominal GDP growth,Terms of trade,
Description,Gross domestic product (GDP); Chain volume,Gross domestic product (GDP); Chain volume; Year-ended change (in per cent),Gross domestic product (GDP); Non-farm; Chain volume,Gross domestic product (GDP); Non-farm; Chain volume; Year-ended change (in per cent),Gross domestic product (GDP); Farm; Chain volume,Gross domestic product (GDP) per capita; Chain volume; Year-ended change (in per cent),Gross domestic income (GDI); Chain volume,Gross domestic income (GDI); Chain volume; Year-ended change (in per cent),Gross domestic product (GDP); Current price,Gross domestic product (GDP); Current price; Year-ended change (in per cent),Goods & services terms of trade,
Frequency,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,
Type,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,
Units,$ million,Per cent ,$ million,Per cent ,$ million,Per cent ,$ million,Per cent ,$ million,Per cent ,Index,
,,,,,,,,,,,,
,,,,,,,,,,,,
Source,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,
Publication date,02-Sep-2021,02-Sep-2021,02-Sep-2021,02-Sep-2021,02-Sep-2021,02-Sep-2021,02-Sep-2021,02-Sep-2021,02-Sep-2021,02-Sep-2021,02-Sep-2021,
Series ID,GGDPCVGDP,GGDPCVGDPY,GGDPCVGDPNF,GGDPCVGDPNFY,GGDPCVGDPF,GGDPCVGDPFY,GGDPCVRGDI,GGDPCVRGDIY,GGDPECCPGDP,GGDPECCPGDPY,GOPITT,
Sep-1959,65956,,57420,,,,59774,,3966,,66.3,
Dec-1959,66537,,57927,,,,60366,,4082,,65.0,
Mar-1960,66873,,58216,,,,61258,,4162,,69.1,
Jun-1960,68720,,60105,,,,62999,,4372,,69.7,
Sep-1960,68875,4.4,61573,7.2,,,62562,4.7,4394,10.8,64.7,
Dec-1960,68739,3.3,60811,5.0,,,62740,3.9,4422,8.3,68.0,
Mar-1961,68946,3.1,60926,4.7,,,62515,2.1,4414,6.1,65.0,
Jun-1961,68190,-0.8,60310,0.3,,,61233,-2.8,4316,-1.3,61.4,
Sep-1961,67702,-1.7,60002,-2.6,,,61349,-1.9,4325,-1.6,64.9,
Dec-1961,68472,-0.4,60601,-0.3,,,61956,-1.2,4361,-1.4,63.8,
Mar-1962,70394,2.1,62588,2.7,,,64049,2.5,4491,1.7,66.0,
Jun-1962,71743,5.2,63615,5.5,,,65267,6.6,4588,6.3,65.9,
Sep-1962,72323,6.8,64072,6.8,,,65622,7.0,4644,7.4,64.8,
Dec-1962,73621,7.5,65391,7.9,,,66744,7.7,4775,9.5,64.5,
Mar-1963,75322,7.0,67287,7.5,,,68712,7.3,4918,9.5,67.7,
Jun-1963,74341,3.6,66140,4.0,,,68000,4.2,4883,6.4,69.1,
Sep-1963,77392,7.0,69036,7.7,,,71166,8.4,5143,10.7,71.6,
Dec-1963,79050,7.4,70851,8.3,,,72997,9.4,5250,9.9,73.1,
Mar-1964,78923,4.8,70519,4.8,,,73217,6.6,5312,8.0,75.7,
Jun-1964,80871,8.8,72348,9.4,,,74647,9.8,5493,12.5,73.3,
Sep-1964,81372,5.1,73615,6.6,,,75022,5.4,5577,8.4,72.5,
